True;report_time;location;incident_type;summary;raw_string
1504259;2015-10-15 15:41:00;2353 PORTLAND ST;IDENTITY THEFT;to;[new_line][new_line]10/15/15  3:41 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]2353 PORTLAND ST[new_line][new_line]Report #:[new_line][new_line]1504259[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/9/15[new_line] 2:39 am[new_line]IDENTITY THEFT[new_line]A suspect used unknown means to make four unauthorized charges on a student's credit card account.[new_line][new_line]Disposition: Open[new_line][new_line]Identity Theft[new_line][new_line] 2:42 am[new_line][new_line]10/9/15[new_line][new_line]-[new_line][new_line]
1504261;2015-10-15 17:00:00;SMART & FINAL;ROBBERY;to  10/15/15;[new_line][new_line]10/15/15  5:00 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]SMART & FINAL[new_line][new_line]Report #:[new_line][new_line]1504261[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]-[new_line]10/15/15  4:15 pm[new_line]ROBBERY[new_line]A suspect approached a student outside the location and punched him several times in the face while demanding his cellular [new_line]phone.  The student defended himself and refused to comply, then the suspect fled to a nearby vehicle and drove away.[new_line][new_line]Robbery-Strong Arm-Attempt[new_line][new_line]Disposition: Open[new_line][new_line] 4:20 pm[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504262;2015-10-15 19:46:00;GENERAL WILLIAM LYON UNIVERSITY CENTER;SERVICE;to  10/15/15;[new_line][new_line]10/15/15  7:46 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]GENERAL WILLIAM LYON UNIVERSITY CENTER[new_line][new_line]Report #:[new_line][new_line]1504262[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15  7:40 pm[new_line]-[new_line]SERVICE[new_line]A student was transported to a local hospital for medical treatment after injuring his ankle.[new_line][new_line]Injury Response[new_line][new_line] 7:50 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504263;2015-10-16 07:54:00;DOWNEY WY & MCCLINTOCK AV;PROPERTY;to;[new_line][new_line]10/16/15  7:54 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]DOWNEY WY & MCCLINTOCK AV[new_line][new_line]Report #:[new_line][new_line]1504263[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15  7:00 am[new_line]PROPERTY[new_line]A student's passport, USC ID and driver's license were found at the location and turned in to DPS Lost & Found.[new_line][new_line]Recovered Property Without a Crime[new_line][new_line]Disposition: CLOSED[new_line][new_line] 7:00 am[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]
1504265;2015-10-16 09:33:00;CENTER FOR HEALTH PROFESSIONS;PROPERTY;to  10/15/15;[new_line][new_line]10/16/15  9:33 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]CENTER FOR HEALTH PROFESSIONS[new_line][new_line]Report #:[new_line][new_line]1504265[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/15/15[new_line][new_line]10/15/15  5:00 pm[new_line]PROPERTY[new_line]A staff member reported her wallet missing.[new_line][new_line] 7:00 pm[new_line][new_line]-[new_line][new_line]Lost/Missing Property[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504266;2015-10-16 10:53:00;PHYSICAL EDUCATION BUILDING;THEFT-PETTY;10/13/15  -  to;[new_line][new_line]10/16/15 10:53 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PHYSICAL EDUCATION BUILDING[new_line][new_line]Report #:[new_line][new_line]1504266[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/13/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/13/15  5:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 8:00 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition:[new_line][new_line]Inactive Investigation[new_line][new_line]
1504267;2015-10-16 05:17:00;1115 37TH PL;VANDALISM;to;[new_line][new_line]10/16/15  5:17 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]1115 37TH PL[new_line][new_line]Report #:[new_line][new_line]1504267[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15  5:00 am[new_line]VANDALISM[new_line]A non-USC male was observed on a video surveillance recording kicking a window at the location until it shattered.[new_line][new_line]Disposition: Open[new_line][new_line]Vandalism-Felony[new_line][new_line] 5:15 am[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]
1504268;2015-10-16 11:26:00;KAPPA SIGMA;LA MUNICIPAL CODE;;[new_line][new_line]10/16/15 11:26 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KAPPA SIGMA[new_line][new_line]Report #:[new_line][new_line]1504268[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line]10/16/15 11:15 am[new_line]LA MUNICIPAL CODE[new_line]A faculty member who lives in a nearby residence reported an on-going problem with noise at the location.[new_line][new_line]Loud and Raucous Noise[new_line][new_line]Disposition: CLOSED[new_line][new_line]12:00 pm[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504269;2015-10-16 12:49:00;KECK HOSPITAL OF USC;SERVICE;to;[new_line][new_line]10/16/15 12:49 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504269[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15 12:48 pm[new_line]-[new_line]SERVICE[new_line]A non-USC female was transported within the facility for medical treatment after experiencing dizziness.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Illness Response[new_line][new_line] 1:12 pm[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]
1504270;2015-10-16 15:31:00;CAROL LITTLE BUILDING;SERVICE;to  1/1/00;[new_line][new_line]10/16/15  3:31 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]CAROL LITTLE BUILDING[new_line][new_line]Report #:[new_line][new_line]1504270[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]1/1/00[new_line][new_line]-[new_line]10/16/15 12:00 am[new_line]SERVICE[new_line]A staff member was transported to SHC for medical treatment after injuring her arm.[new_line][new_line]Injury Response[new_line][new_line]12:00 am[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Safety[new_line][new_line]
1504271;2015-10-16 14:47:00;JEFFERSON BL & MCCLINTOCK AV;VEHICLE CODE;to  10/16/15;[new_line][new_line]10/16/15  2:47 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]JEFFERSON BL & MCCLINTOCK AV[new_line][new_line]Report #:[new_line][new_line]1504271[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]10/16/15  1:50 pm[new_line]VEHICLE CODE[new_line]A non-USC female reported that her vehicle was struck by another vehicle while it was parked at the location and the driver [new_line]of the second vehicle left without reporting the incident or leaving any contact information at the scene.[new_line][new_line]Hit & Run - Misdemeanor[new_line][new_line]Disposition: CLOSED[new_line][new_line] 2:30 pm[new_line][new_line]-[new_line][new_line]
1504272;2015-10-16 14:42:00;EILEEN & KENNETH T. NORRIS DENTAL  SCIENCE CENTER;SERVICE;to;[new_line][new_line]10/16/15  2:42 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]EILEEN & KENNETH T. NORRIS DENTAL [new_line]SCIENCE CENTER[new_line][new_line]Report #:[new_line][new_line]1504272[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15  2:42 pm[new_line]-[new_line]SERVICE[new_line]A staff member was examined and released at the scene after complaining of a migraine headache.[new_line][new_line]Illness Response[new_line][new_line]Disposition: CLOSED[new_line][new_line] 3:32 pm[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]
1504273;2015-10-16 12:21:00;ROGER AND MICHELE DEDEAUX ENGEMANN  STUDENT HEALTH CENTER;SERVICE;to  10/16/15;[new_line][new_line]10/16/15 12:21 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ROGER AND MICHELE DEDEAUX ENGEMANN [new_line]STUDENT HEALTH CENTER[new_line][new_line]Report #:[new_line][new_line]1504273[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]-[new_line]10/16/15 12:21 pm[new_line]SERVICE[new_line]A student was transported to a local hospital for psychiatric evaluation.[new_line][new_line] 3:57 pm[new_line][new_line]-[new_line][new_line]Commitment To Mental Health For 72 Hrs[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504274;2015-10-16 16:47:00;COLLEGE VIEW APTS.;BURGLARY-MOTOR VEHICLE;to  10/16/15;[new_line][new_line]10/16/15  4:47 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]COLLEGE VIEW APTS.[new_line][new_line]Report #:[new_line][new_line]1504274[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]10/16/15  4:40 pm[new_line]BURGLARY-MOTOR VEHICLE[new_line]Two suspects were arrested for removing a GPS unit from a student's vehicle and removing a second student's bicycle from [new_line]an apartment complex.[new_line][new_line]Disposition: Cleared Arrest[new_line][new_line]Burglary-Motor Vehicle[new_line][new_line] 5:00 pm[new_line][new_line]-[new_line][new_line]
1504275;2015-10-16 17:41:00;TROY HALL;THEFT-PETTY;to  9/22/15;[new_line][new_line]10/16/15  5:41 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]TROY HALL[new_line][new_line]Report #:[new_line][new_line]1504275[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]9/22/15[new_line][new_line] 1:00 pm[new_line][new_line]9/22/15[new_line]THEFT-PETTY[new_line]A suspect removed a skateboard.[new_line][new_line]-[new_line][new_line] 1:10 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition: CLOSED[new_line][new_line]
1504276;2015-10-16 17:43:00;KECK HOSPITAL PARKING BLDG.;;;[new_line][new_line]10/16/15  5:43 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL PARKING BLDG.[new_line][new_line]Report #:[new_line][new_line]1504276[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1504277;2015-10-16 13:30:00;SIERRA APARTMENTS;SERVICE;to  10/16/15;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]-[new_line]10/16/15  1:30 pm[new_line]SERVICE[new_line]A non-USC female reported that her shoulder was injured when an elevator door closed on it.  The female declined medical [new_line]treatment.[new_line][new_line]Disposition: CLOSED[new_line][new_line]Injury Response[new_line][new_line] 2:00 pm[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/16/15  5:51 pm[new_line][new_line]Location:[new_line][new_line]SIERRA APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1504277[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]10/16/15  6:00 pm[new_line]-[new_line]SERVICE[new_line]A student was examined and released at the scene after experiencing chest pains.[new_line][new_line]Illness Response[new_line][new_line] 6:00 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504278;2015-10-16 16:43:00;EDWARD L. DOHENY JR. MEMORIAL LIBRARY;THEFT-PETTY;10/16/15  -  to;[new_line][new_line]10/16/15  4:43 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]EDWARD L. DOHENY JR. MEMORIAL LIBRARY[new_line][new_line]Report #:[new_line][new_line]1504278[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15  3:00 pm[new_line]THEFT-PETTY[new_line]A suspect removed a bicycle.[new_line][new_line]-[new_line][new_line] 4:00 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition:[new_line][new_line]Inactive Investigation[new_line][new_line]
1504279;2015-10-16 19:52:00;USC UNIVERSITY HOSPITAL NORRIS TOWER;;;[new_line][new_line]10/16/15  7:52 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]USC UNIVERSITY HOSPITAL NORRIS TOWER[new_line][new_line]Report #:[new_line][new_line]1504279[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1504280;2015-10-16 19:52:00;34TH ST & MCCLINTOCK AV;BATTERY;to  10/16/15;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]-[new_line]10/16/15  7:52 pm[new_line]BATTERY[new_line]A nurse reported that she sustained an injury to her wrist when an unruly patient pushed her while she and other staff [new_line]members were attempting to subdue the subject.[new_line][new_line]Disposition: CLOSED[new_line][new_line] 7:52 pm[new_line][new_line]Battery[new_line][new_line]-[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/16/15  7:53 pm[new_line][new_line]Location:[new_line][new_line]34TH ST & MCCLINTOCK AV[new_line][new_line]Report #:[new_line][new_line]1504280[new_line][new_line]to[new_line][new_line]10/26/15[new_line][new_line]-[new_line]10/26/15  7:10 pm[new_line]TRAFFIC[new_line]A student reported he was struck by a vehicle while riding his bicycle near the location.  The student sustained abrasions to [new_line]his knee and was treated and released at the scene.[new_line][new_line]Traffic Collision-Bicycle[new_line][new_line]Disposition: CLOSED[new_line][new_line] 7:30 pm[new_line][new_line]-[new_line][new_line]cc: Student Affairs[new_line][new_line]
1504281;2015-10-16 21:14:00;ENTRANCE GATE 1;TRAFFIC;to  10/16/15;[new_line][new_line]10/16/15  9:14 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]ENTRANCE GATE 1[new_line][new_line]Report #:[new_line][new_line]1504281[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]-[new_line]10/16/15  9:00 pm[new_line]TRAFFIC[new_line]A student drove his vehicle into an entrance gate, causing unspecified damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line] 9:10 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Risk Management[new_line][new_line]
1504283;2015-10-16 22:24:00;KECK HOSPITAL OF USC;THEFT-PETTY;10/16/15  -  to;[new_line][new_line]10/16/15 10:24 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]KECK HOSPITAL OF USC[new_line][new_line]Report #:[new_line][new_line]1504283[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]10/16/15[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/16/15  6:55 am[new_line]THEFT-PETTY[new_line]A suspect removed currency.[new_line][new_line]-[new_line][new_line]10:10 pm[new_line][new_line]Theft Petty-Plain[new_line][new_line]Disposition:[new_line][new_line]Inactive Investigation[new_line][new_line]
1504284;2015-10-16 21:27:00;PARKING STRUCTURE D;TRAFFIC;to  10/16/15;[new_line][new_line]10/16/15  9:27 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]PARKING STRUCTURE D[new_line][new_line]Report #:[new_line][new_line]1504284[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/16/15[new_line][new_line]-[new_line]10/16/15  5:35 pm[new_line]TRAFFIC[new_line]A staff member drove a University tram into a tree, causing minor damage.[new_line][new_line]Traffic Collision Without Injuries[new_line][new_line] 5:35 pm[new_line][new_line]-[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Risk Management, Transportation Services[new_line][new_line]
1504285;2015-10-17 03:04:00;THOMAS & DOROTHY LEAVEY LIBRARY;ALCOHOL;to  10/17/15;[new_line][new_line]10/17/15  3:04 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]THOMAS & DOROTHY LEAVEY LIBRARY[new_line][new_line]Report #:[new_line][new_line]1504285[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/17/15[new_line][new_line]10/17/15  3:00 am[new_line]-[new_line]ALCOHOL[new_line]A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line] 3:04 am[new_line][new_line]-[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504286;2015-10-16 23:45:00;MCCARTHY WY & FIGUEROA ST;SERVICE;to  10/17/15;[new_line][new_line]10/16/15 11:45 pm[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]MCCARTHY WY & FIGUEROA ST[new_line][new_line]Report #:[new_line][new_line]1504286[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]10/17/15[new_line][new_line]-[new_line]10/16/15 11:40 pm[new_line]SERVICE[new_line]An intoxicated student was transported to a local hospital for medical treatment after sustaining a cut above his eye.[new_line][new_line]Injury Response[new_line][new_line]12:05 am[new_line][new_line]Disposition: Cleared by Exceptional Means[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
1504287;2015-10-17 06:01:00;HEALTHCARE CENTER 2;;;[new_line][new_line]10/17/15  6:01 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]HEALTHCARE CENTER 2[new_line][new_line]Report #:[new_line][new_line]1504287[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]
1504288;2015-10-17 06:00:00;707 28TH ST;FIRE;to  10/17/15;[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/17/15[new_line][new_line]10/17/15  6:00 am[new_line]FIRE[new_line]A fire alarm was activated due to unknown cause.[new_line][new_line] 8:00 am[new_line][new_line]-[new_line][new_line]Alarm Malfunction[new_line][new_line]Disposition: CLOSED[new_line][new_line]cc: Safety[new_line]-[new_line][new_line]10/17/15 10:31 am[new_line][new_line]Location:[new_line][new_line]707 28TH ST[new_line][new_line]Report #:[new_line][new_line]1504288[new_line][new_line]-[new_line][new_line]to[new_line][new_line]10/17/15[new_line][new_line]10/16/15  3:30 pm[new_line]BURGLARY-MOTOR VEHICLE[new_line]A suspect removed a HOV lane transponder.[new_line][new_line] 9:15 am[new_line][new_line]-[new_line][new_line]Burglary-Motor Vehicle[new_line][new_line]Disposition: Open[new_line][new_line]
1504289;2015-10-17 01:31:00;UNIVERSITY GATEWAY APARTMENTS;ALCOHOL;to;[new_line][new_line]10/17/15  1:31 am[new_line][new_line]-[new_line][new_line]Location:[new_line][new_line]UNIVERSITY GATEWAY APARTMENTS[new_line][new_line]Report #:[new_line][new_line]1504289[new_line][new_line]Occurred:[new_line]Incident:[new_line]Summary:[new_line][new_line]to[new_line][new_line]12:00 am[new_line][new_line]-[new_line]1/1/00[new_line]ALCOHOL[new_line]A student was transported to a local hospital for medical treatment following an alcohol overdose.[new_line][new_line]Alcohol/Drug Overdose[new_line][new_line]Disposition: Open[new_line][new_line]12:00 am[new_line][new_line]1/1/00[new_line][new_line]-[new_line][new_line]cc: Student Affairs, Judicial Affairs[new_line][new_line]
